firstName,lastName,userName,password,userID,phoneNumber,deliveryAddress,email,nationality,vehicle,rating,type
Rafila,Puscasu,rpuscasu,C)8LF9vf*2,C-655827,0751 915 305,"Intrarea Ardelean
Targoviste, 165019",rafila@example.com,,,,0
Grigore,Cristea,gcristea,@PaQxg3_9X,C-137071,0267 935 502,"Bulevardul Emil Popa Nr. 32 Bl. 29  Sc. 59 Ap. 660
Dumbravita, 633250",cristea@example.com,,,,0
Dominic,Popescu,dpopescu,78x@AFYy%o,C-541031,0232 255 482,"Drumul Eliana Oprea
Baciu, 836446",popescu@example.com,,,,0
Alice,Tomescu,atomescu,*5NG25p^e3,C-134520,0255 381 923,"Aleea Popa Nr. 268
Apahida, 912781",alice@example.com,,,,0
Manuela,Puscasu,mpuscasu,#O)(NxdrD7,C-516302,0257 737 617,"Bulevardul Tudor
Cristuru Secuiesc, 915386",manuela@example.com,,,,0
Lucentiu,Popa,lpopa,^V0uDJwR+7,C-463624,0722 112 683,"Aleea Ardelean Nr. 419 Bl. 13  Sc. 10 Ap. 801
Baia, 704418",lucentiu@example.com,,,,0
Romina,Preda,rpreda,J^QRtQ6I+7,C-466545,0240 647 494,"Intrarea Sinica Barbu Nr. 664 Bl. 23  Sc. 38 Ap. 129
Timisoara, 455616",preda@example.com,,,,0
Codrut,Stancu,cstancu,DuX+WjCn@0,C-985135,0255 514 587,"Intrarea Dochia Diaconescu Nr. 78 Bl. 70  Sc. 62 Ap. 443
Bistrita, 889874",codrut@example.com,,,,0
Fabian,Stan,fstan,#NJJ!r_9w6,C-293677,0746 350 911,"Bulevardul Tudor Nr. 34
Dumbraveni, 135533",fabian@example.com,,,,0
Bebe,Stanescu,bstanescu,8789BMao#&,C-313567,0261 879 856,"Drumul Sofia Suciu Nr. 396 Bl. 50  Sc. 31 Ap. 628
Avrig, 537058",stanescu@example.com,,,,0
Irina,Dumitrescu,idumitrescu,HseUi6&s$7,D-804105,0244 430 879,,dumitrescu@example.com,Chinese,Dacia Logan,3.29,1
Pompilia,Dinu,pdinu,F23GWKsc1+,D-868566,0722 590 136,,dinu@example.com,Chinese,Piaggio Vespa,3.15,1
Vasilica,Nistor,vnistor,WeqAWGiu(4,D-169517,0744 017 865,,nistor@example.com,Chinese,Yamaha NMAX,1.43,1
Nicolaie,Ionita,nionita,$Q@6YpAeN3,D-159439,0730 318 443,,ionita@example.com,Indian,Renault Clio,4.74,1
Iuliu,Pop,ipop,i4Cmj7v8$Y,D-897085,0255 393 084,,iuliu@example.com,Romanian,Ford Focus,1.87,1
Mara,Nistor,mnistor,5k*gUj_8%I,D-816552,021 217 0138,,mara@example.com,Chinese,Volkswagen Golf,1.01,1
Giorgiana,Suciu,gsuciu,(kFg%SB9n5,D-284507,0259 202 639,,suciu@example.com,Romanian,Volkswagen Golf,2.9,1
Lucian,Ionita,lionita,ke3_*Bfa!6,D-870661,0242 235 955,,ionita@example.com,Chinese,Ford Focus,1.09,1
Giorgian,Nistor,gnistor,#JfJ6R#ld),D-144066,0234 241 798,,nistor@example.com,Chinese,Ford Focus,1.19,1
Codruta,Ababei,cababei,kUr7Ytg4)(,D-229788,0753 084 533,,codruta@example.com,Chinese,Dacia Logan,3.11,1
